央视频道,#genre#
CCTV-1,kdsvod://http://v.91kds.com/b7/hbgd.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,kdsvod://http://v.91kds.com/b7/jsbtv2.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,rtsp://122.191.50.135/PLTV/88888888/224/3221225513/10000100000000060000000000007639_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Ds6+UerNys+d1Hf+VWxZeoIkFTbj4rCw14DRUTelHCiM=:20220106103026,1
CCTV-1,rtsp://122.191.50.135/PLTV/88888888/224/3221225768/10000100000000060000000003128641_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Di0G8aNGpFlbeDvfrnY3R3IkFTbj4rCw14DRUTelHCiM=:20220106103026,1
CCTV-1,kdsvod://http://v.91kds.com/b7/dsdq.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,kdsvod://migu://608807420
CCTV-1,kdsvod://http://v.91kds.com/b7/zbdq2.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,kdsvod://http://v.91kds.com/b7/zbdq1.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,kdsvod://http://v.91kds.com/b7/xuexi.m3u8?id=cctv1&pwd=jsdecode
CCTV-1,kdsvod://http://v.91kds.com/b7/zbdq3.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,kdsvod://http://v.91kds.com/b7/zbdq4.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,kdsvod://http://v.91kds.com/b7/zbdq5.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,kdsvod://http://v.91kds.com/b7/jsbtv1.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,kdsvod://http://v.91kds.com/b7/zbdq6.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,htmlplay://https://m.miguvideo.com/m/liveDetail/608807420?channelId=10010001005
CCTV-1,kdsvod://http://v.91kds.com/b7/zbdq7.m3u8?id=cctv1hd&pwd=jsdecode
CCTV-1,https://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8?auth_key=2145888000-0-0-fda7ddb73d3cb5ac5bddf4eeba9b665e
CCTV-1,kdsvod://http://v.91kds.com/b7/xuexi1.m3u8?id=cctv1&pwd=jsdecode
CCTV-1,https://wfrtv-live-tz.wfcmw.cn:5443/live/cctv.m3u8
CCTV-1,htmlplay://https://app.hfbtc.cn/shows/2/6.html@@action=play@@
CCTV-1,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=2&id=cctv1hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-1,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=1&id=cctv1hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-1,kdsvod://http://v.91kds.com/b7/cctvxw.m3u8?bt=0&id=cctv1hd&pwd=jsdecode@@Referer=https://m-live.cctvnews.cctv.com/@@
CCTV-1,kdsvod://http://v.91kds.com/c7/sxy.m3u8?id=cctv1&pwd=jsdecode
CCTV-1,rtmp://play.kankanlive.com/live/1698234869325962
CCTV-1,kdsvod://http://v.91kds.com/c7/cctvxw.m3u8?bt=2&id=cctv1hd&pwd=jsdecode
CCTV-1,http://fjwysdb.chinashadt.com:2036/live/3.stream/playlist.m3u8
CCTV-1,kdsvod://http://v.91kds.com/b7/hoge.m3u8?ip=hnldtv&id=8&pwd=jsdecode@@User-Agent=Mozilla@@
CCTV-1,http://media.hndyjyfw.gov.cn/live/jz-cctv-1/live.m3u8@@Referer=https://www.hndyjyfw.gov.cn/@@
CCTV-1,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV-1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=7
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=8
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=9
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=10
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=11
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=12
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=13
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=15
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=17
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=18
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=19
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=20
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=21
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=22
CCTV-1,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV1
CCTV-1,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV1
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-1,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8
